cluster,Latitude,Longitude,* Damage,radius,miles,color
0,38.56671442876883,-122.56037349953561,1.8983175432865076,0.3396220325986857,10.18866097796057,#BF0A30
1,38.55363826188337,-121.14259856775949,1.8333333333333333,0.014988286088371277,0.44964858265113833,#BF0A30
2,39.79661812681579,-121.50255068952964,2.1455038804925017,0.31114889494611375,9.334466848383412,#BF0A30
3,37.395972668794315,-121.50409595902514,0.9356846473029046,0.14801342542297447,4.440402762689234,#FF2400
4,36.671429227670075,-120.9962695368245,0.75,0.004121556894093697,0.1236467068228109,#FA8072
5,41.08829549757064,-120.8296125698966,1.5,0.05815910478864947,1.744773143659484,#FF2400
6,35.311099961443674,-120.0082655521565,3.0,0.007579147986261084,0.22737443958783252,#7C0A02
7,33.85066854675775,-116.95431839259923,0.7471910112359551,0.2905763708446202,8.717291125338605,#FA8072
8,35.410856590942885,-120.469714655399,2.857142857142857,0.025600237573601307,0.7680071272080392,#7C0A02
9,38.75249571276685,-120.25758455209382,0.7107071602748836,0.2549638779012286,7.648916337036858,#FA8072
10,35.80301687802233,-118.53417768462462,1.2051696284329563,0.3002902959118299,9.008708877354897,#FF2400
11,40.5889115005166,-122.47029199367213,2.0052870090634443,0.18100370122710852,5.430111036813256,#BF0A30
12,39.61344083706906,-122.58842742870439,0.2692307692307692,0.048605208625763646,1.4581562587729093,#FA8072
13,34.698196935099666,-118.49533527097886,2.923076923076923,0.014428836701616904,0.4328651010485071,#7C0A02
14,39.48816648450355,-123.37777916532134,1.3852459016393444,0.013917879460262154,0.4175363838078646,#FF2400
15,32.73171732218346,-116.71640896392577,0.8137404580152672,0.07873149439595185,2.3619448318785556,#FF2400
16,40.09683600973776,-123.41731064181226,1.3834586466165413,0.07026249575363748,2.1078748726091243,#FF2400
17,39.801184232853046,-123.03162707634465,0.4380165289256198,0.0665902009430837,1.997706028292511,#FA8072
18,40.037903685045315,-123.68440163189551,3.0,0.04152361119488194,1.2457083358464582,#7C0A02
19,34.35028325841656,-117.70601131623634,0.752,0.11664728357068695,3.4994185071206085,#FA8072
20,34.205594203808054,-118.02335570816592,1.7142857142857142,0.009277690755007267,0.278330722650218,#BF0A30
21,37.15181026598858,-119.33551571186676,0.8455236980690463,0.13046447159241878,3.9139341477725633,#FF2400
22,41.834482566239004,-123.3915401876772,2.530066815144766,0.0323579931349204,0.9707397940476121,#7C0A02
