cluster,Latitude,Longitude,* Damage,radius,miles,color
50,36.723987664804106,-119.26203015418736,0.6415094339622641,0.06991674992712109,2.0975024978136325,#FA8072
51,33.58456243783175,-116.44560065718775,2.5,0.0030013544942707085,0.09004063482812126,#7C0A02
52,41.757558298947636,-122.06494976668,2.3333333333333335,0.002674035996876715,0.08022107990630145,#BF0A30
53,38.70188000780541,-119.80033624127707,0.12626262626262627,0.033146967335887005,0.9944090200766101,#FA8072
54,41.58313170503092,-121.91228046340343,0.48854961832061067,0.019627770368742165,0.5888331110622649,#FA8072
55,40.006758229387756,-122.4481951367347,0.673469387755102,0.009452542778008699,0.28357628334026097,#FA8072
56,36.89294380756757,-121.60819681351353,0.40540540540540543,0.020040388585662205,0.6012116575698662,#FA8072
57,41.457209487777774,-122.6431074888889,1.3333333333333333,0.024348116814449223,0.7304435044334767,#FF2400
58,37.786665482380954,-120.75476580428573,0.5238095238095238,0.0019098988008201445,0.05729696402460434,#FA8072
59,36.312115075,-118.0238379,3.0,0.00032488489788579626,0.009746546936573888,#7C0A02
60,34.726371631481484,-118.81757122037037,0.5555555555555556,0.03427671710405655,1.0283015131216966,#FA8072
61,39.234040413461535,-122.44192510576923,0.0,0.06674031265083008,2.0022093795249023,#FA8072
62,40.789572923076925,-123.67506895384615,0.23076923076923078,0.01483164743869631,0.4449494231608893,#FA8072
63,37.15393350833333,-119.66119960833333,1.4166666666666667,0.0015484892653368485,0.04645467796010545,#FF2400
64,34.98525386363636,-118.51903936363637,0.5454545454545454,0.02093309754034735,0.6279929262104206,#FA8072
65,36.20722930897436,-120.57705375897436,0.0,0.04909679408297772,1.4729038224893316,#FA8072
66,32.72081618,-116.41868498,3.2,0.0007546508803401424,0.022639526410204273,#7C0A02
67,36.505263892857144,-118.10137363571428,2.0,0.0012513412872778554,0.037540238618335664,#BF0A30
